Recoding ID,genre,subgenre,Song Title,singer,Gender,YouTube URL,duration_sec
AFM0001.wav,Kamrupi,,Pokhi Roya Ja Re,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,261
AFM0002.wav,Kamrupi,,O Pita Basudev,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,303
AFM0003.wav,Kamrupi,,O Mai Moi Dhanu,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,216
AFM0004.wav,Kamrupi,,Gadhuli Beliya,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,258
AFM0005.wav,Kamrupi,,O Bhumit Poriya,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,322
AFM0006.wav,Kamrupi,,Hari Jar Dukh,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,281
AFM0007.wav,Kamrupi,,Moi Kene Najanu,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,290
AFM0008.wav,Kamrupi,,Ram Naam Ki Madhur,Rameshwar Pathak,M,https://youtu.be/dU8AHeKOUQE?si=y9zCEIdga78WbKFz,374
AFM0009.wav,Kamrupi,,Ahiso Kanai Ahiso,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,286
AFM0010.wav,Kamrupi,,O Maya Nadi,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,333
AFM0011.wav,Kamrupi,,He Nadi Ashe,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,269
AFM0012.wav,Kamrupi,,Biguti Na Mato,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,210
AFM0013.wav,Kamrupi,,Baikunthar Shyam,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,236
AFM0014.wav,Kamrupi,,Dum Dum Dambaru,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,242
AFM0015.wav,Kamrupi,,Krishnar Hathe Dhari,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,280
AFM0016.wav,Kamrupi,,Meghe Korila Andhakar,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,273
AFM0017.wav,Kamrupi,,O Mai Kene Biya Dila,Rameshwar Pathak,M,https://youtu.be/ITG0I6rgGn0?si=SywHIvN4bcVLX_5Q,241
AFM0018.wav,Kamrupi,,Doyamoy Doya Kora,"Rameshwar Pathak, Dhanada Pathak",Mixed,https://youtu.be/a-nHBa_aFw8?si=DZfgxfetFEUSzaJQ,298
AFM0019.wav,Kamrupi,,Kor Pora Ahili Jyoti,Shandhya menon,F,https://youtu.be/i1AmHbYwoe8?si=hbbY7vrdoSEivCIR,317
AFM0020.wav,Kamrupi,,Jonom Dukhi Mohapapi,Kamal Das,M,https://youtu.be/boHG4-h8cTo?si=KM4XzyV65wJysHzK,314
AFM0021.wav,Kamrupi,,Kanai Jai Re,Zubeen Garg,M,https://youtu.be/YEsuXyVggXM?si=IyAgcQKJX-rFKSTY,348
AFM0022.wav,Kamrupi,,LIlamotir Biya,Pranita Baishya,F,https://youtu.be/o3mRxYqFSro?si=2wDpEYMCMm-sEufs,256
AFM0023.wav,Kamrupi,,Kanai Par kora He,Zubeen Garg,M,https://youtu.be/p_zqs6jNgtc?si=BD2VZRZ02SiqhyVV,390
AFM0024.wav,Kamrupi,,O Phuleswori,Pranita Baishya,F,https://youtu.be/OVe4yws6inU?si=RxNtNm_YoN4Zj3Qt,398
AFM0025.wav,Kamrupi,,Aaya Chol,Zubeen Garg,M,https://youtu.be/yj23wJreDy4?si=Zec-QgstADI2JVVI,352
AFM0026.wav,Kamrupi,,Hip Cholil He,Unknown,F,https://youtu.be/ipX-Wt968Cg?si=u4PfhqLvNpEDikrL,267
AFM0027.wav,Kamrupi,,O Hori Shreeguru Sankar,"Rameshwar Pathak, Zubeen garg",M,https://youtu.be/PWYcW-B_AmE?si=eVJyy5byq6O9Lqza,448
AFM0028.wav,Kamrupi,,O Nilaj Kanu,Dhanada Pathak,F,https://youtu.be/MHm6zlJMKX4?si=xrrW4kKrZZnb9Ko5,178
AFM0029.wav,Kamrupi,,Tupuni Tupuni,Rameshwar Pathak,M,https://youtu.be/KkIkD3LnEks?si=13FrLsz5p6Pjzbqw,401
AFM0030.wav,Kamrupi,,O Gorokhiya,Pranita Baishya,F,https://youtu.be/5BhXg4UnBKY?si=_SRupA6-TV3lPiXy,319
AFM0031.wav,Kamrupi,,Koina Toi,Zubeen Garg,M,https://youtu.be/Ye4K2rSZJWo?si=Vmp8u4idVj4CHElH,242
AFM0032.wav,Kamrupi,,Hiyar Bhitarot,Pranita Baishya,F,https://youtu.be/5GbsikCu1Wo?si=Z-OgX36U_naJRrcW,339.8
AFM0033.wav,Kamrupi,,O Shyam Kolia He,Bina sharma,F,https://youtu.be/CD5ieJcGCj4?si=uBgp5oDT5aSuzU_t,502
AFM0034.wav,Kamrupi,,Guru Sankardev,Bina sharma,F,https://youtu.be/ZwKy72_a2cg?si=daJ0c7ePq77dw3qY,403
